Rank,Team,2022,Last 3,Last 1,Home,Away,2021,More
130,Wash State,12.0,11.3,11.0,11.1,12.7,11.2,https://www.teamrankings.com/ncaa-basketball/team/washington-st-cougars
130,Duke,12.0,11.3,15.0,11.3,12.6,10.3,https://www.teamrankings.com/ncaa-basketball/team/duke-blue-devils
130,Cornell,12.0,12.3,11.0,10.6,13.0,14.4,https://www.teamrankings.com/ncaa-basketball/team/cornell-big-red
133,Montana St,12.0,14.7,16.0,9.4,13.4,13.0,https://www.teamrankings.com/ncaa-basketball/team/montana-st-bobcats
134,Detroit,12.0,11.0,13.0,10.5,13.1,11.7,https://www.teamrankings.com/ncaa-basketball/team/detroit-mercy-titans
134,Utah,12.0,10.3,12.0,11.1,13.2,12.3,https://www.teamrankings.com/ncaa-basketball/team/utah-utes
136,N Iowa,12.0,10.3,7.0,13.3,10.8,11.2,https://www.teamrankings.com/ncaa-basketball/team/northern-iowa-panthers
137,Canisius,12.0,11.3,7.0,12.9,11.4,11.8,https://www.teamrankings.com/ncaa-basketball/team/canisius-golden-griffins
137,Charl South,12.0,12.7,11.0,11.9,12.1,15.0,https://www.teamrankings.com/ncaa-basketball/team/charleston-southern-buccaneers
139,Dayton,12.1,9.7,8.0,11.9,12.2,12.4,https://www.teamrankings.com/ncaa-basketball/team/dayton-flyers
140,Grd Canyon,12.1,8.7,7.0,12.5,11.7,12.9,https://www.teamrankings.com/ncaa-basketball/team/grand-canyon-antelopes
141,Chattanooga,12.1,12.3,10.0,11.4,12.5,11.2,https://www.teamrankings.com/ncaa-basketball/team/chattanooga-mocs
141,Saint Louis,12.1,10.7,15.0,11.2,13.0,13.1,https://www.teamrankings.com/ncaa-basketball/team/saint-louis-billikens
143,Wyoming,12.1,12.7,11.0,12.4,11.8,11.4,https://www.teamrankings.com/ncaa-basketball/team/wyoming-cowboys
144,SE Louisiana,12.1,11.7,17.0,11.8,12.2,14.7,https://www.teamrankings.com/ncaa-basketball/team/southeastern-louisiana-lions
144,N Florida,12.1,11.3,13.0,10.6,12.9,14.9,https://www.teamrankings.com/ncaa-basketball/team/north-florida-ospreys
146,Lehigh,12.1,9.3,11.0,11.8,12.3,13.2,https://www.teamrankings.com/ncaa-basketball/team/lehigh-mountain-hawks
147,Wake Forest,12.1,13.3,10.0,10.7,13.4,13.9,https://www.teamrankings.com/ncaa-basketball/team/wake-forest-demon-deacons
148,Morehead St,12.1,8.0,6.0,12.3,12.0,13.5,https://www.teamrankings.com/ncaa-basketball/team/morehead-st-eagles
148,Holy Cross,12.1,11.0,7.0,11.6,12.5,12.2,https://www.teamrankings.com/ncaa-basketball/team/holy-cross-crusaders
150,Portland St,12.1,12.3,10.0,11.9,12.2,12.3,https://www.teamrankings.com/ncaa-basketball/team/portland-st-vikings
151,Florida St,12.1,10.0,9.0,10.6,13.6,12.5,https://www.teamrankings.com/ncaa-basketball/team/florida-state-seminoles
152,Baylor,12.1,10.0,10.0,12.5,11.8,12.4,https://www.teamrankings.com/ncaa-basketball/team/baylor-bears
153,Central Conn,12.2,11.3,7.0,11.7,12.5,13.8,https://www.teamrankings.com/ncaa-basketball/team/central-conn-st-blue-devils
154,Missouri St,12.2,11.0,17.0,11.8,12.4,10.6,https://www.teamrankings.com/ncaa-basketball/team/missouri-st-bears
154,Louisiana,12.2,12.0,14.0,10.7,13.0,15.6,https://www.teamrankings.com/ncaa-basketball/team/ul-lafayette-ragin-cajuns
156,Ball St,12.2,10.7,13.0,11.1,12.9,14.1,https://www.teamrankings.com/ncaa-basketball/team/ball-st-cardinals
156,Lipscomb,12.2,6.0,8.0,11.9,12.3,13.0,https://www.teamrankings.com/ncaa-basketball/team/lipscomb-bisons
158,Utah St,12.2,13.0,15.0,12.2,12.2,12.5,https://www.teamrankings.com/ncaa-basketball/team/utah-st-aggies
158,Auburn,12.2,8.3,8.0,12.1,12.3,12.1,https://www.teamrankings.com/ncaa-basketball/team/auburn-tigers
160,Hawaii,12.2,12.7,18.0,11.7,12.8,12.9,https://www.teamrankings.com/ncaa-basketball/team/hawaii-rainbow-warriors
161,Wagner,12.2,11.7,14.0,12.5,12.0,12.5,https://www.teamrankings.com/ncaa-basketball/team/wagner-seahawks
162,N Colorado,12.2,11.3,11.0,11.3,12.8,12.1,https://www.teamrankings.com/ncaa-basketball/team/northern-colorado-bears
163,Elon,12.2,13.3,11.0,11.6,12.6,13.3,https://www.teamrankings.com/ncaa-basketball/team/elon-university-phoenix
163,Indiana St,12.2,15.0,18.0,11.1,12.9,13.5,https://www.teamrankings.com/ncaa-basketball/team/indiana-st-sycamores
165,Mississippi,12.2,11.3,7.0,12.5,11.9,12.2,https://www.teamrankings.com/ncaa-basketball/team/mississippi-rebels
166,UCSD,12.2,12.7,9.0,10.6,13.4,12.9,https://www.teamrankings.com/ncaa-basketball/team/uc-san-diego-tritons
167,Air Force,12.2,14.0,17.0,11.9,12.6,13.6,https://www.teamrankings.com/ncaa-basketball/team/air-force-falcons
