Rank,Team,2022,Last 3,Last 1,Home,Away,2021
348,Hsn Christian,15.4,17.3,15.0,14.3,16.3,14.9
349,Jackson St,15.5,15.7,12.0,13.6,16.2,13.2
350,S Car State,15.5,19.7,20.0,17.7,14.5,14.8
351,WI-Milwkee,15.7,13.3,20.0,15.9,15.6,13.3
352,Central Mich,15.8,14.7,10.0,16.0,15.6,13.6
353,IUPUI,15.8,13.3,13.0,15.9,15.8,16.4
354,TX El Paso,15.9,17.0,13.0,15.8,16.1,11.4
355,NC Central,15.9,14.0,16.0,16.9,15.3,16.9
356,Florida A&M,15.9,17.3,16.0,16.3,15.7,12.6
357,Miss Val St,16.1,16.0,16.0,13.6,17.2,13.4
358,Morgan St,16.2,18.7,23.0,12.8,17.7,15.8
359,Howard,16.3,18.0,18.0,16.8,16.0,15.0
360,Delaware St,16.3,17.7,17.0,15.4,16.8,18.2
361,TX-Pan Am,16.5,15.7,16.0,15.6,17.2,15.1
362,LIU,16.6,19.0,19.0,15.4,17.4,13.6
363,New Orleans,17.1,14.7,15.0,16.3,17.8,14.5
